Date,Price
8/3/2017,28447
8/4/2017,28373
8/7/2017,28419
8/8/2017,28357
8/9/2017,28800
8/10/2017,29130
8/11/2017,29158
8/14/2017,29042
8/16/2017,28878
8/17/2017,29093
8/18/2017,29109
8/21/2017,29224
8/22/2017,29061
8/23/2017,29090
8/24/2017,29021
8/25/2017,29086
8/28/2017,29425
8/29/2017,29588
8/30/2017,29540
8/31/2017,29756
9/1/2017,29788
9/4/2017,30174
9/5/2017,30226
9/6/2017,30088
9/7/2017,30287
9/8/2017,30271
9/11/2017,29942
9/12/2017,29953
9/13/2017,29896
9/14/2017,30020
9/15/2017,29869
9/18/2017,29561
9/19/2017,29628
9/20/2017,29780
9/21/2017,29584
9/22/2017,29608
9/25/2017,30065
9/26/2017,29885
9/27/2017,29673
9/28/2017,29624
9/29/2017,29549
10/3/2017,29400
10/4/2017,29331
10/5/2017,29412
10/6/2017,29510
10/9/2017,29670
10/10/2017,29768
10/11/2017,29659
10/12/2017,29756
10/13/2017,29800
10/16/2017,29808
10/17/2017,29565
10/18/2017,29536
10/19/2017,29654
10/20/2017,29541
10/23/2017,29499
10/24/2017,29498
10/25/2017,29362
10/26/2017,29236
10/27/2017,29272
10/30/2017,29349
10/31/2017,29040
11/1/2017,29120
11/2/2017,29242
11/3/2017,29191
11/6/2017,29363
11/7/2017,29457
11/8/2017,29562
11/9/2017,29670
11/10/2017,29508
11/13/2017,29619
11/14/2017,29620
11/15/2017,29528
11/16/2017,29491
11/17/2017,29658
11/20/2017,29339
11/21/2017,29334
11/22/2017,29504
11/23/2017,29420
11/24/2017,29375
11/27/2017,29460
11/28/2017,29381
11/29/2017,29215
11/30/2017,28992
12/1/2017,29217
12/4/2017,29059
12/5/2017,28893
12/6/2017,28972
12/7/2017,28670
12/8/2017,28588
12/11/2017,28429
12/12/2017,28318
12/13/2017,28377
12/14/2017,28500
12/15/2017,28441
12/18/2017,28663
12/19/2017,28555
12/20/2017,28617
12/21/2017,28596
12/22/2017,28757
12/26/2017,28924
12/27/2017,29092
12/28/2017,29171
12/29/2017,29372
1/1/2018,29324
1/2/2018,29392
1/3/2018,29481
1/4/2018,29472
1/5/2018,29465
1/8/2018,29270
1/9/2018,29173
1/10/2018,29343
1/11/2018,29404
